iter	Passed	Remaining
826	1303	272
827	1304	271
828	1305	269
829	1306	267
830	1307	265
831	1308	264
832	1308	262
833	1309	260
834	1310	258
835	1312	257
836	1313	255
837	1314	254
838	1315	252
839	1316	250
840	1317	249
841	1318	247
842	1319	245
843	1320	244
844	1321	242
845	1322	240
846	1322	238
847	1323	237
848	1324	235
849	1326	234
850	1327	232
851	1328	230
852	1329	229
853	1330	227
854	1332	225
855	1333	224
856	1334	222
857	1335	220
858	1336	219
859	1337	217
860	1338	216
861	1339	214
862	1341	212
863	1342	211
864	1343	209
865	1344	208
866	1345	206
867	1346	204
868	1347	203
869	1348	201
870	1349	199
871	1350	198
872	1351	196
873	1352	194
874	1353	193
875	1355	191
876	1357	190
877	1358	188
878	1359	187
879	1360	185
880	1362	183
881	1363	182
882	1364	180
883	1365	179
884	1366	177
885	1367	176
886	1368	174
887	1371	172
888	1372	171
889	1373	169
890	1374	168
891	1375	166
892	1377	164
893	1378	163
894	1379	161
895	1380	160
896	1381	158
897	1383	157
898	1384	155
899	1386	154
900	1387	152
901	1388	150
902	1389	149
903	1390	147
904	1391	146
905	1392	144
906	1393	142
907	1394	141
908	1395	139
909	1396	138
910	1397	136
911	1398	134
912	1401	133
913	1402	131
914	1403	130
915	1405	128
916	1406	127
917	1407	125
918	1410	124
919	1411	122
920	1412	121
921	1413	119
922	1414	118
923	1416	116
924	1417	114
925	1418	113
926	1419	111
927	1420	110
928	1421	108
929	1422	107
930	1423	105
931	1424	103
932	1425	102
933	1426	100
934	1427	99
935	1428	97
936	1430	96
937	1431	94
938	1432	93
939	1433	91
940	1434	89
941	1435	88
942	1436	86
943	1438	85
944	1439	83
945	1440	82
946	1441	80
947	1442	79
948	1442	77
949	1445	76
950	1446	74
951	1448	73
952	1449	71
953	1450	69
954	1451	68
955	1452	66
956	1453	65
957	1454	63
958	1455	62
959	1456	60
960	1458	59
961	1460	57
962	1461	56
963	1462	54
964	1463	53
965	1464	51
966	1465	50
967	1466	48
968	1467	46
969	1468	45
970	1469	43
971	1470	42
972	1472	40
973	1473	39
974	1475	37
975	1476	36
976	1477	34
977	1478	33
978	1479	31
979	1480	30
980	1481	28
981	1482	27
982	1483	25
983	1484	24
984	1485	22
985	1486	21
986	1487	19
987	1489	18
988	1490	16
989	1491	15
990	1492	13
991	1493	12
992	1494	10
993	1496	9
994	1497	7
995	1498	6
996	1499	4
997	1500	3
998	1501	1
999	1502	0
